category,filename,hashtag,source,description,people,faces,females,alcohol_visible,words_on_image,proportion_females,labels
anti_prof,ap64.png,#DrunkNightmare,,"Three man are shown smiling and holding alcoholic drinks. In a second image, one of the men is lying unconscious and bleeding in front of a damaged car. A slogan reads: “Don’t turn a night out into a nightmare. Four Australians under 25 die due to alcohol related injuries in an average week.”",6,4,0.0,1,22,0.0,Drunk Nightmare
anti_prof,ap65.png,#DrunkNightmare,,"A woman is shown smiling and holding a beer. She is surrounded by others who are also holding alcoholic beverages. In a second image, the woman is lying on the ground, unconscious and bleeding after having fallen onto and through a glass table.  A slogan reads: “Don’t turn a night out into a nightmare. On average, 1 in 4 hospitalisations of people aged 15-24 happen because of alcohol.”",6,2,2.0,1,22,0.333333333,Drunk Nightmare
anti_prof,ap67.png,#TwoDrinksAgo,,"A man is lying on a stretcher with a neck brace, a bleeding nose and a blue eye. He is being put into an ambulance. A slogan reads: “Two drinks ago this wasn’t your ride. Excessive drinking is dangerous. Stop drinking while you’re still thinking.”",2,2,1.0,0,17,0.5,Two Drinks Ago
anti_prof,ap69.png,#CutThemOff,,"Looking through the windshield of a car from the driver’s perspective, we see a woman getting hit by the car. A slogan reads: “Just one more drink can hurt. Keep your friends from hurting themselves or others. Cut them off before they’ve had too much.",1,1,1.0,0,22,1.0,Cut Them Off
anti_prof,ap71.png,#TwoDrinksAgo,,A woman is sitting bent over and possibly sleeping on a staircase outside. It is dark. A slogan reads: “Two drinks ago you could still get yourself home.”,1,1,1.0,0,9,1.0,Two Drinks Ago
anti_prof,ap73.png,#KnowWhen,,A woman in a short dress is lying on the ground in the dark. She is either sleeping or unconscious. A slogan reads: “Bottoms up. Know when to say when”,1,0,1.0,0,7,1.0,Know When
anti_prof,ap77.png,#StopBeforeItGetsUgly,,"A man is sitting in a hospital gown. Half his head has been shaved and we see a large surgical scar on his scalp. A slogan reads: “Six schooners, Five vodka lime sodas, Four rounds of shots, Two cleansing ales, One stupid fight, eight hours of surgery, thirty-two stitches, sixty days in hospital, ten months recovery.”",1,1,0.0,0,31,0.0,Stop Before It Gets Ugly
anti_prof,ap79.png,#ThanksAcohol,,A drawing of a woman shows her crying surrounded by smiling and dancing people. She is holding a phone and is giving a thumbs up. A slogan reads: “Thanks Alcohol”,10,6,6.0,0,2,0.6,Thanks Acohol
anti_prof,ap82.png,#WhatAreYouDoing?,,Two men are sitting sleeping and leaning against a tree in the dark on a busy street outside. They look desheveled and one of them has a wet t-shirt on. A slogan reads: “Binge drinking. What are you doing to yourself?”,2,0,0.0,0,8,0.0,What Are You Doing
anti_prof,ap83.png,#WhatAreYouDoing?,,"A woman and a man are shown at a bar. The man is holding an alcoholic drink and is very clumsily attempting to kiss the woman. The man’s pants are wet and he looks highly intoxicated. The woman is pushing him away and is looking disgusted. Next to the two characters, the same man is depicted again, representing an earlier version of himself. He is standing at the bar, holding a drink and is watching the embarrassing situation unfold looking uncomfortable. A slogan reads: “Binge Drinking. What are you doing to yourself?”",5,3,2.0,1,8,0.4,What Are You Doing
