val_cond,source_cond,emmean,SE,df,lower.CL,upper.CL
anti-alcohol,peer-produced,-0.3106970645675585,0.11087318914933998,182.34664818672704,-0.5294564051979155,-0.0919377239372016
non-alcoholic,peer-produced,-0.346391828931203,0.0947764358528126,70.87457405101254,-0.5353764703239592,-0.1574071875384469
pro-alcohol,peer-produced,1.1516428536078163,0.11329773061840726,185.13378512911993,0.9281222293666556,1.375163477848977
anti-alcohol,professional,-0.265345054024432,0.11232939617294384,180.22434091362643,-0.4869950135500375,-0.04369509449882647
non-alcoholic,professional,-0.11132997584745233,0.0944742618029722,70.02537670465993,-0.2997517492138678,0.07709179751896314
pro-alcohol,professional,1.2949360452416512,0.11137546258317776,181.60476757652611,1.0751796923262447,1.5146923981570577
