effect,term,Estimate
fixed,(Intercept),"1.88 [1.43, 2.33], p = 0.004"
fixed,val_condpro-alcohol,"2.27 [2.07, 2.48], p < .001"
ran_pars,sd__(Intercept),0.868307476675032
ran_pars,sd__(Intercept),0.59783741582774
ran_pars,sd__(Intercept),0.0489176238110798
ran_pars,sd__Observation,1.28826468495029
